threshold,accuracy,balanced_accuracy,macro_f1,FAR,FRR
0.1,0.6,0.3732,0.3966,0,0.6829
0.11,0.6133,0.3982,0.4238,0,0.6585
0.12,0.6533,0.4787,0.5421,0,0.5854
0.13,0.6533,0.4787,0.5421,0,0.5854
0.14,0.6667,0.5037,0.5598,0,0.5366
0.15,0.6933,0.5392,0.5923,0,0.4878
0.16,0.72,0.5747,0.6222,0,0.439
0.17,0.72,0.5747,0.6222,0,0.439
0.18,0.76,0.6553,0.7096,0,0.3659
0.19,0.76,0.6553,0.7033,0,0.3415
0.2,0.7733,0.6658,0.7141,0,0.3171
0.21,0.7867,0.6763,0.7243,0,0.2927
0.22,0.7867,0.6763,0.7187,0,0.2683
0.23,0.7867,0.6763,0.7187,0,0.2683
0.24,0.8,0.6868,0.7285,0,0.2439
0.25,0.8133,0.6974,0.738,0,0.2195
0.26,0.8267,0.7174,0.7539,0,0.1707
0.27,0.8267,0.7174,0.7539,0,0.1707
0.28,0.8267,0.7174,0.7539,0,0.1707
0.29,0.8133,0.7115,0.7296,0.0294,0.1463
0.3,0.84,0.747,0.7554,0.0294,0.0976
0.31,0.84,0.747,0.7554,0.0294,0.0976
0.32,0.8533,0.7575,0.7644,0.0294,0.0732
0.33,0.8667,0.7775,0.7815,0.0294,0.0488
0.34,0.8667,0.7775,0.7815,0.0294,0.0488
0.35,0.8667,0.7775,0.7815,0.0294,0.0488
0.36,0.8667,0.7775,0.7815,0.0294,0.0488
0.37,0.8667,0.7775,0.7815,0.0294,0.0488
0.38,0.8533,0.7717,0.7641,0.0588,0.0488
0.39,0.8533,0.7717,0.7596,0.0588,0.0244
0.4,0.8267,0.7599,0.7338,0.1176,0.0244
0.41,0.8133,0.754,0.7259,0.1471,0.0244
0.42,0.7867,0.7422,0.7026,0.2059,0.0244
0.43,0.76,0.7305,0.6835,0.2647,0.0244
0.44,0.7467,0.7246,0.6754,0.2941,0.0244
0.45,0.72,0.7128,0.6544,0.3529,0.0244
0.46,0.6933,0.7011,0.6343,0.4118,0.0244
0.47,0.6533,0.6834,0.6051,0.5,0.0244
0.48,0.6533,0.6834,0.6051,0.5,0.0244
0.49,0.64,0.6775,0.5961,0.5294,0.0244
0.5,0.64,0.6822,0.5944,0.5588,0
0.51,0.6267,0.6763,0.5819,0.5882,0
0.52,0.6,0.6645,0.5612,0.6471,0
0.53,0.5867,0.6587,0.551,0.6765,0
0.54,0.5867,0.6587,0.551,0.6765,0
0.55,0.56,0.6469,0.5292,0.7353,0
0.56,0.5467,0.641,0.5177,0.7647,0
0.57,0.52,0.6292,0.4945,0.8235,0
0.58,0.52,0.6292,0.4945,0.8235,0
0.59,0.52,0.6292,0.4945,0.8235,0
0.6,0.52,0.6292,0.4945,0.8235,0
0.61,0.52,0.6292,0.4945,0.8235,0
0.62,0.5067,0.6234,0.4826,0.8529,0
0.63,0.5067,0.6234,0.4826,0.8529,0
0.64,0.48,0.6116,0.4547,0.9118,0
0.65,0.48,0.6116,0.4547,0.9118,0
0.66,0.48,0.6116,0.4547,0.9118,0
0.67,0.48,0.6116,0.4547,0.9118,0
0.68,0.4667,0.6057,0.4412,0.9412,0
0.69,0.4667,0.6057,0.4412,0.9412,0
0.7,0.4533,0.5998,0.4248,0.9706,0
0.71,0.4533,0.5998,0.4248,0.9706,0
0.72,0.44,0.5939,0.4105,1,0
0.73,0.44,0.5939,0.4105,1,0
0.74,0.44,0.5939,0.4105,1,0
0.75,0.44,0.5939,0.4105,1,0
0.76,0.44,0.5939,0.4105,1,0
0.77,0.44,0.5939,0.4105,1,0
0.78,0.44,0.5939,0.4105,1,0
0.79,0.44,0.5939,0.4105,1,0
0.8,0.44,0.5939,0.4105,1,0
